"Latitude","Longitude","NDWI","NDVI","HSI","DATA","COLECAO"
-349230,686460,0.0164429731667042,-0.0128780715167522,-0.0293210446834564,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-411750,777930,-0.385793834924698,0.29719004034996,0.682983875274658,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-375600,724530,-0.183061689138412,0.127963781356812,0.311025470495224,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-349020,808290,-0.387216657400131,0.296075493097305,0.683292150497437,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-255570,777810,-0.176336005330086,0.120056852698326,0.296392858028412,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-231630,801000,-0.36399519443512,0.285049855709076,0.649045050144196,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-277320,747570,-0.368654668331146,0.288891166448593,0.657545804977417,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-353550,678870,-0.199442535638809,0.143763348460197,0.343205869197845,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-385290,732270,-0.374646127223969,0.288964778184891,0.663610935211182,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-399210,853920,-0.198145493865013,0.141576066613197,0.33972156047821,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-207030,838920,-0.372610241174698,0.289939343929291,0.662549614906311,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-228660,770250,-0.333310455083847,0.256630092859268,0.589940547943115,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-253440,747390,-0.378864228725433,0.29180246591568,0.670666694641113,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-385230,709620,-0.370213985443115,0.286890774965286,0.657104730606079,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-214710,785700,-0.376964420080185,0.292486369609833,0.669450759887695,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-231810,770310,-0.369128465652466,0.285198360681534,0.654326796531677,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-336060,838740,-0.353953868150711,0.27812072634697,0.632074594497681,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-265770,831150,-0.370960652828217,0.291637867689133,0.662598490715027,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-374190,831360,-0.388535469770432,0.297775387763977,0.686310887336731,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
