Latitude,Longitude,NDWI,NDVI,HSI,DATA,COLECAO,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),SUMPRECIPITACAO(soma-precipitacao(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-3.9603,-85389,-0.374923765659332,0.290309071540833,0.665232837200165,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.827917098999023,22.994096755981445,10.30000114440918,10.300000190734863,4.091519355773926
-3.3354,-87696,-0.375552475452423,0.291344523429871,0.666896998882294,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.555240631103516,23.639469146728516,15.399999618530273,15.400001525878906,4.226390361785889
-2.4531,-66381,-0.372437924146652,0.28971916437149,0.66215705871582,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.3127326965332,24.911813735961914,581.2000122070312,566.699951171875,4.064664840698242
-3.7251,-80862,-0.366388082504272,0.286698192358017,0.653086304664612,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.47013282775879,23.13731575012207,13.699999809265137,13.700000762939453,4.134316921234131
-3.7719,-65601,-0.130549639463425,0.0927112400531769,0.223260879516602,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,34.03428268432617,23.736858367919922,374.10003662109375,357.8999938964844,4.284934997558594
-2.5809,-77781,-0.176336005330086,0.120056852698326,0.296392858028412,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,29.90838050842285,21.501680374145508,704.5999145507812,699.0999755859375,3.711085796356201
-2.4513,-67887,-0.199442535638809,0.143763348460197,0.343205869197845,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.33990478515625,23.204435348510742,572.0999755859375,551.2999877929688,4.012089729309082
-3.5826,-77802,-0.375676691532135,0.292736113071442,0.668412804603577,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.676654815673828,21.920738220214844,722.39990234375,720.9999389648438,3.7411201000213623
-2.7351,-80079,-0.341504573822021,0.270899444818497,0.612403988838196,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,28.442739486694336,22.898038864135742,25.19999885559082,25.100000381469727,4.1878132820129395
-3.57,-66363,-0.15722943842411,0.115853659808636,0.273083090782166,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,33.48530197143555,23.482011795043945,421.79998779296875,408.79998779296875,4.253223419189453
-3.9057,-75.51,-0.377213448286057,0.291114330291748,0.668327808380127,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.60359764099121,23.155839920043945,798.8999633789062,783.8999633789062,3.8491599559783936
-3.6273,-82347,-0.0395156145095825,0.0219701621681452,0.0614857748150826,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.185331344604492,21.410057067871094,2.8999998569488525,2.9000000953674316,3.5232810974121094
-2.4624,-86154,-0.0093087302520871,-0.0004911591531708,0.0088175712153315,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.33127212524414,23.49371910095215,17.500001907348633,17.500001907348633,4.112961292266846
-2.5263,-77814,-0.385086417198181,0.296124368906021,0.68121075630188,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,25.41647720336914,19.085739135742188,1262.9998779296875,1258.5999755859375,3.3597123622894287
-2.7213,-85413,-0.358902931213379,0.281220436096191,0.64012336730957,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.0631046295166,23.241662979125977,10.80000114440918,10.800000190734863,4.029155254364014
-3.2874,-80838,-0.35348853468895,0.278052896261215,0.631541430950165,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.28728675842285,23.37550163269043,7.500000476837158,7.500000476837158,4.228175163269043
-3.0888,-71721,-0.377526998519897,0.292833089828491,0.670360088348389,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.74253273010254,23.13140106201172,820.1000366210938,814.3999633789062,3.9717259407043457
-2.9019,-83145,-0.375362306833267,0.292137086391449,0.667499423027039,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.853343963623047,22.102109909057617,4.199999809265137,4.199999809265137,3.7142398357391357
-4.0017,-65625,-0.371560752391815,0.289660632610321,0.661221385002136,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,34.112300872802734,23.706899642944336,399.70001220703125,391.0999755859375,4.29230260848999
-3.2502,-78564,-0.358734250068665,0.281791299581528,0.640525579452515,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.32947540283203,14.379014015197754,356.0999755859375,355.5999755859375,3.643174886703491
-3.3354,-66381,-0.372437924146652,0.28971916437149,0.66215705871582,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,33.5822639465332,23.688520431518555,458.1000061035156,438.6000061035156,4.253596305847168
-3.5517,-82383,-0.362621992826462,0.286425709724426,0.64904773235321,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.21834945678711,21.475919723510742,2.299999952316284,2.3000001907348633,3.545508623123169
-3.8478,-77037,-0.363459855318069,0.285266697406769,0.648726582527161,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.006507873535156,22.558513641357422,786.0,776.5,3.67773699760437
-3.7512,-76293,-0.374913662672043,0.29139456152916,0.666308224201202,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.045021057128906,23.069814682006836,877.5000610351562,859.7001342773438,3.714449882507324
-3.4128,-86919,-0.358328640460968,0.281227350234985,0.639555990695953,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.362886428833008,23.490707397460938,11.700000762939453,11.700000762939453,4.197786331176758
-3.7344,-80097,-0.362399339675903,0.284169495105743,0.646568834781647,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.649959564208984,20.98317527770996,119.10000610351562,118.80000305175781,4.206619739532471
-2.0643,-77052,-0.366874247789383,0.286244511604309,0.65311872959137,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,29.918373107910156,21.371700286865234,866.0,863.800048828125,3.543811559677124
-3.9189,-65.61,-0.392497152090073,0.299961656332016,0.692458808422089,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,34.065242767333984,23.72133445739746,394.20001220703125,384.4000244140625,4.278965950012207
-4.1685,-77034,-0.353165537118912,0.277634620666504,0.630800127983093,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.975446701049805,22.89165687561035,854.0,846.5999755859375,3.7192320823669434
