"","20241012_ndwi","20241112_ndwi","20241012_hsi","20241112_hsi","20241012_ndvi","20241112_ndvi","x","y"
"ndwi_pred.coord_47",-0.313592199074655,-0.312668277611824,0.409913866327314,0.40130237234047,0.0856203898782937,0.0803123039402151,818130,-318210
"ndwi_pred.coord_48",-0.273594774352258,-0.273478516115526,0.355622557642367,0.350712940179368,0.0815296268782738,0.0769865268916561,836010,-302850
"ndwi_pred.coord_49",-0.328609499010949,-0.327989261692563,0.433515388977433,0.432917729495345,0.100738456136491,0.104789749267554,735060,-217170
"ndwi_pred.coord_50",-0.288175818339455,-0.286493961621633,0.367641933123625,0.369234309654933,0.0817133962596717,0.0789550260791853,747750,-332460
"ndwi_pred.coord_51",-0.369865424604207,-0.372542733779777,0.492230311234317,0.48516711863251,0.119290589838837,0.119483657327958,692910,-259410
"ndwi_pred.coord_52",-0.326307192308177,-0.321366492281533,0.425721870196667,0.426745702016919,0.110710884026285,0.0989421542178986,836070,-267090
"ndwi_pred.coord_53",0.000536122243071869,0.000596747767160414,-0.00975587177648549,-0.0110102391242084,-0.0108082948433029,-0.0112557005382431,705360,-233100
"ndwi_pred.coord_54",-0.271194254755303,-0.274869407212124,0.286830109273111,0.281672239570928,0.00568945295740382,0.011496405224167,673830,-327780
"ndwi_pred.coord_55",-0.306831095156229,-0.306974307172736,0.421234829634889,0.413384139653132,0.10269535887054,0.104813157474024,752220,-221190
"ndwi_pred.coord_56",-0.23928742660368,-0.239330084878349,0.331340595145062,0.320415076292863,0.0857658977050371,0.0873708755541265,718950,-399270
"ndwi_pred.coord_57",-0.302036077190854,-0.304159486442757,0.445948107484831,0.44023717388876,0.137990406639543,0.135143350107393,766770,-350580
"ndwi_pred.coord_58",-0.284419193677829,-0.284728181392432,0.377019787793743,0.379610319465233,0.103005143007855,0.0972627750548458,859950,-298530
"ndwi_pred.coord_59",-0.302965717430208,-0.303322427823419,0.406460577221097,0.410596068083408,0.10991037475542,0.104218035964382,740700,-220770
"ndwi_pred.coord_60",-0.313770466411368,-0.315164585626887,0.430873801489236,0.420484606620672,0.113028499735465,0.110739485745396,713130,-290970
"ndwi_pred.coord_61",-0.276047899795483,-0.276121800073956,0.357555765306399,0.365058790064308,0.0867750642218433,0.0800523839868606,807660,-307470
"ndwi_pred.coord_62",-0.270400805999904,-0.268255263600019,0.368308102879917,0.371865347062354,0.104144885814658,0.100650682435662,817740,-280050
