Latitude,Longitude,ndvi,ndwi,hsi,data,colecao,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-7.05750,-30.31800,0.295451253652573,-0.388855308294296,0.684306561946869,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.93630,-26.98500,0.293666690587997,-0.369630426168442,0.663297116756439,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.21610,-24.03300,0.282105594873428,-0.364465206861496,0.646570801734924,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.57830,-28.06800,0.274627208709717,-0.350376158952713,0.625003337860107,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.66520,-25.89900,0.248985826969147,-0.315999329090118,0.564985156059265,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.16790,-38.58000,0.234414398670197,-0.281307518482208,0.515721917152405,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.21020,-35.05200,0.177459731698036,-0.199026376008987,0.376486122608185,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.41830,-36.06600,-0.0866942033171654,0.0585405789315701,-0.145234778523445,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.41380,-32.43300,0.226852163672447,-0.269523769617081,0.496375918388367,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.17030,-26.09700,0.27977791428566,-0.355628103017807,0.635406017303467,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.39020,-28.41000,0.0220038574188948,-0.0151774790138006,0.0371813364326954,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.32290,-36.01500,0.0734441131353378,-0.0493933781981468,0.122837491333485,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.27700,-29.57100,0.272491216659546,-0.34831714630127,0.620808362960815,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.68990,-28.25700,0.289823114871979,-0.377760320901871,0.667583465576172,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.69200,-37.98900,0.277046769857407,-0.346930176019669,0.623976945877075,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.68840,-26.32500,0.26468101143837,-0.339483141899109,0.604164123535156,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.74510,-34.46400,0.0360409133136272,-0.0289110373705626,0.0649519488215446,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.98760,-31.49100,0.297955453395844,-0.392232567071915,0.690188050270081,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.00290,-20.74200,0.292433053255081,-0.377533793449402,0.669966816902161,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.87200,-23.49300,0.284383833408356,-0.369013249874115,0.653397083282471,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.50590,-25.16700,0.27470588684082,-0.359119802713394,0.633825659751892,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.91760,-33.18900,0.209256529808044,-0.242690443992615,0.451946973800659,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.13790,-23.05500,0.254746496677399,-0.315312832593918,0.570059299468994,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.48650,-34.80300,0.294039934873581,-0.384787410497665,0.678827345371246,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.39460,-42.33900,0.281638592481613,-0.366156786680222,0.647795379161835,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.76980,-34.11300,0.180931344628334,-0.237798720598221,0.418730080127716,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.26680,-31.08300,0.307610481977463,-0.414356142282486,0.721966624259949,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.36730,-42.41700,0.262819021940231,-0.33585312962532,0.598672151565552,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.22960,-25.17000,0.25823301076889,-0.332389712333679,0.59062272310257,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.41750,-28.59300,0.0190896652638912,-0.0129117593169212,0.0320014245808125,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.03760,-35.44200,0.2696433365345,-0.333166480064392,0.60280978679657,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.53740,-25.39500,0.270225703716278,-0.345637202262878,0.615862905979156,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.15950,-22.83300,0.262298166751862,-0.325436592102051,0.587734758853912,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.91340,-39.75300,0.231814101338387,-0.282146483659744,0.513960599899292,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.43400,-26.67300,0.277028799057007,-0.353425621986389,0.630454421043396,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.77200,-26.45700,0.254325687885284,-0.317755490541458,0.572081208229065,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.71010,-34.99500,0.137590184807777,-0.150944918394089,0.288535118103027,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.09050,-27.43500,0.265995293855667,-0.318949282169342,0.584944605827332,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.00250,-25.39800,0.304571092128754,-0.40512889623642,0.709699988365173,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.24650,-40.35000,0.230343088507652,-0.273421257734299,0.50376433134079,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
